165	podczas	192247	0.058409662635988666%	29.514997391151333%
166	powierzchnia	191013	0.058034741187576934%	29.57303213233891%
167	wynik	190079	0.05775096757913564%	29.630783099918045%
168	album	188752	0.057347790300333074%	29.68813089021838%
169	które	188629	0.0573104196859452%	29.745441309904322%
170	powiat	188303	0.05721137236651065%	29.802652682270836%
171	sekunde	187902	0.0570895380870835%	29.85974222035792%
172	by³a	187500	0.056967399981523115%	29.916709620339443%
173	zobacz	186710	0.056727377336267634%	29.97343699767571%
174	ok	185317	0.05630414753267157%	30.02974114520838%
175	nad	185156	0.05625523152522077%	30.0859963767336%
176	polsce	184135	0.05594502504318805%	30.14194140177679%
177	koœció³	183212	0.05566459352221234%	30.197605995299%
178	adres	182314	0.0553917576545675%	30.25299775295357%
179	ich	181594	0.05517300283863845%	30.308170755792208%
180	inne	181251	0.055068790474938914%	30.363239546267145%
181	j	181076	0.055015620901622826%	30.41825516716877%
182	gdzie	180152	0.05473488555451388%	30.472990052723283%
183	œw	178090	0.05410839606778375%	30.527098448791065%
184	wieku	177526	0.05393703812863932%	30.581035486919706%
185	zosta³a	175543	0.053334550906434734%	30.63437003782614%
186	lata	175381	0.053285331072850696%	30.68765536889899%
187	seed	175073	0.053191752623814384%	30.740847121522805%
188	czy	174761	0.053096958870245126%	30.79394408039305%
189	tylko	173110	0.05259534192427449%	30.846539422317324%
190	k	172624	0.05244768242352238%	30.898987104740847%
191	fb	172445	0.05239329754567335%	30.95138040228652%
192	ludnoœci	172419	0.05238539806620925%	31.00376580035273%
193	miasto	172270	0.052340127972357264%	31.05610592832509%
194	grafiki	170780	0.05188742703383743%	31.107993355358925%
195	pocztowy	170140	0.051692978308567165%	31.15968633366749%
196	wed³ug	169148	0.05139158278439825%	31.21107791645189%
197	wikitable	168447	0.05117860066500066%	31.262256517116892%
198	lang	166251	0.050511398476417065%	31.31276791559331%
199	go	166227	0.05050410664921943%	31.363272022242526%
200	tej	166139	0.05047736994949477%	31.413749392192024%
201	ul	166062	0.05045397533723569%	31.464203367529258%
202	osób	162841	0.04947535136208643%	31.513678718891345%
203	zespó³	160455	0.048750422208188225%	31.562429141099532%
204	fra	160311	0.048706671245002414%	31.611135812344536%
205	artyku³	160044	0.04862554966742873%	31.659761362011963%
206	ju¿	159604	0.048491866168805416%	31.70825322818077%
207	ten	158664	0.048206269603564715%	31.756459497784334%
208	zm	158085	0.04803035427242177%	31.804489852056754%
209	°	157214	0.04776572171037427%	31.85225557376713%
210	h	153999	0.04678892069202442%	31.899044494459154%
211	zabytki	153101	0.04651608482437958%	31.945560579283534%
212	mo¿e	150740	0.04579875132381224%	31.991359330607345%
213	polska	150219	0.045640457908396916%	32.03699978851574%
214	index	150025	0.04558151563854936%	32.082581304154296%
215	rodzaj	147793	0.044903375709169316%	32.127484679863464%
216	by³o	146138	0.04440054345866574%	32.17188522332213%
217	administracyjna	146063	0.04437775649867313%	32.216262979820804%
218	medalista	145218	0.04412102341608973%	32.260384003236894%
219	pozycja	145191	0.04411282011049239%	32.304496823347385%
220	byæ	145186	0.04411130097982621%	32.34860812432721%
221	przed	141796	0.043081330388160276%	32.39168945471537%
222	strona	141592	0.04301934985698038%	32.43470880457235%
223	file	140369	0.04264777049603423%	32.477356575068384%
224	pierwszy	140283	0.04262164144857604%	32.51997821651696%
225	d³ugoœæ	138902	0.042202057558578795%	32.56218027407554%
226	iii	138816	0.042175928511120606%	32.60435620258666%
227	htm	138802	0.04217167494525532%	32.646527877531916%
228	gov	138669	0.04213126606953509%	32.68865914360145%
229	historia	136659	0.04152057554173316%	32.73017971914318%
230	lista	135882	0.04128450263620973%	32.77146422177939%
231	linia	134234	0.040783797168638794%	32.81224801894803%
232	wojny	134099	0.0407427806406521%	32.85299079958868%
233	by³y	133698	0.04062094636122495%	32.89361174594991%
234	mecz	133121	0.040445638682348475%	32.934057384632254%
235	linear	132529	0.04026577361147348%	32.97432315824373%
236	g	132195	0.040164295682973056%	33.014487453926705%
237	sk³ad	130659	0.03969761874232442%	33.05418507266903%
238	np	130313	0.039592494900225185%	33.093777567569255%
239	by	130284	0.03958368394236138%	33.133361251511616%
240	uk	128647	0.03908632056225603%	33.17244757207387%
241	link	128388	0.03900762959374821%	33.21145520166762%
242	czasie	128090	0.03891708940604425%	33.25037229107366%
243	jan	127826	0.03883687930687026%	33.28920917038053%
244	póŸniej	127289	0.03867372467332318%	33.327882895053854%
245	mapy	127210	0.03864972240879763%	33.36653261746265%
246	dope³niacz	125334	0.038079744582849163%	33.404612362045505%
247	ita	123385	0.03748758744917456%	33.442099949494676%
248	która	123126	0.037408896480666746%	33.479508845975346%
249	obecnie	122975	0.037363018734548295%	33.51687186470989%
250	nazwy	122568	0.03723936149832174%	33.554111226208214%
251	deu	120842	0.03671495759235849%	33.59082618380057%
252	la	120617	0.03664659671238066%	33.62747278051295%
253	medal	120443	0.03659373096519781%	33.664066511478154%
254	gatunek	119525	0.03631481857488827%	33.70038133005304%
255	kraj	119503	0.03630813439995711%	33.736689464453%
256	gol	119176	0.03620878325438933%	33.77289824770739%
257	tablice	119050	0.03617050116160175%	33.80906874886899%
258	mo¿na	118825	0.036102140281623916%	33.84517088915061%
259	koordynaty	118323	0.03594961956274005%	33.88112050871335%
260	miejscu	117507	0.035701697438020465%	33.91682220615137%
261	znajduje	116335	0.03534561320986929%	33.95216781936124%
262	czêœci	115540	0.035104071433947635%	33.98727189079519%
263	masa	115361	0.0350496865560986%	34.022321577351285%
264	brak	114957	0.03492694079827175%	34.05724851814956%
265	fr	114544	0.03480146060524578%	34.09204997875481%
266	nastêpnie	113523	0.034491254123213064%	34.12654123287802%
267	im	113490	0.03448122786081631%	34.161022460738835%
268	bez	113160	0.03438096523684883%	34.195403425975684%
269	czêœæ	113065	0.034352101754191525%	34.22975552772988%
270	rejestracyjne	112431	0.03415947598572067%	34.263915003715596%
271	województwo	112409	0.03415279181078951%	34.298067795526386%
272	danych	110080	0.03344518074648568%	34.33151297627287%
273	wraz	109105	0.03314895026658176%	34.364661926539455%
274	czas	108669	0.03301648207249139%	34.397678408611945%
275	bardzo	108387	0.03293080310291918%	34.43060921171487%
276	powiecie	108086	0.03283935143681551%	34.46344856315168%
277	mistrzostwa	107398	0.03263031905714997%	34.49607888220883%
278	kraju	107057	0.03252671434571691%	34.52860559655455%
279	stronie	106942	0.03249177434039491%	34.56109737089494%
280	mm	105575	0.03207644401626295%	34.593173814911204%
281	dnia	105005	0.03190326312031912%	34.625077078031524%
282	pdf	104836	0.03185191650380244%	34.65692899453533%
283	gdy	104810	0.03184401702433834%	34.68877301155966%
284	stanie	104747	0.03182487597794455%	34.72059788753761%
285	svg	104341	0.03170152256785122%	34.75229941010546%
286	news	103998	0.031597310204151685%	34.78389672030961%
287	dwa	103850	0.031552343936432935%	34.815449064246046%
288	film	103834	0.031547482718301184%	34.84699654696435%
289	gminie	103601	0.031476691229257475%	34.8784732381936%
290	patrz	103560	0.03146423435779485%	34.9099374725514%
291	klub	103302	0.03138584721542027%	34.941323319766816%
292	ga	101834	0.0309398304518316%	34.97226315021865%
293	natomiast	101705	0.030900636880644313%	35.0031637870993%
294	vb	101660	0.03088696470464875%	35.034050751803946%
295	as	101136	0.030727759810833716%	35.064778511614776%
296	innych	100613	0.030568858743151923%	35.09534737035793%
297	polskiego	100121	0.030419376285600406%	35.12576674664353%
298	zaludnienia	99888	0.0303485847965567%	35.156115331440084%
299	okres	99801	0.030322151922965272%	35.18643748336305%
300	którym	99467	0.030220673994464854%	35.216658157357514%
301	których	99451	0.030215812776333097%	35.24687397013385%
302	pi³karz	99036	0.03008972493104066%	35.276963695064886%
303	cze	98796	0.03001680665906431%	35.306980501723956%
304	world	97504	0.02962426329492496%	35.336604765018876%
305	no	96335	0.02926909054517349%	35.365873855564054%
306	praca	96195	0.02922655488652062%	35.395100410450574%
307	gf	96178	0.02922138984225563%	35.42432180029283%
308	category	96158	0.029215313319590933%	35.45353711361242%
309	której	96054	0.029183715401734516%	35.482720829014156%
310	Ÿród³o	95745	0.029089833126564966%	35.51181066214072%
311	?	95690	0.029073122689237053%	35.54088378482996%
312	podpis	95203	0.02892515936235171%	35.56980894419231%
313	miêdzy	94518	0.028717038461085878%	35.59852598265339%
314	tam	93423	0.028384348845193783%	35.626910331498586%
315	polskiej	93049	0.02827071787136397%	35.65518104936995%
316	rus	92972	0.02824732325910489%	35.68342837262906%
317	wyniki	92418	0.028079003581292818%	35.71150737621035%
318	cm	92058	0.027969626173328294%	35.73947700238368%
319	województwie	92026	0.027959903737064782%	35.76743690612074%
320	kg	91973	0.02794380095200334%	35.795380707072745%
321	wydawnictwo	91890	0.02791858338294485%	35.82329929045569%
322	jeszcze	91637	0.027841715371236447%	35.851141005826925%
323	john	91505	0.027801610321649455%	35.87894261614858%
324	zawodnik	91427	0.027777911883257143%	35.90672052803183%
325	grupy	91393	0.02776758179472716%	35.93448810982656%
326	oko³o	91166	0.027698613262482862%	35.96218672308904%
327	pn	91135	0.027689194652352582%	35.989875917741394%
328	wzglêdem	91108	0.027680991346755245%	36.01755690908815%
329	europy	91062	0.02766701534462644%	36.045223924432776%
330	dzieñ	90595	0.027525128540405796%	36.07274905297319%
331	wikipedia	90518	0.027501733928146716%	36.10025078690133%
332	tu	90476	0.027488973230550856%	36.12773976013188%
333	jeden	90458	0.02748350436015263%	36.15522326449204%
334	kolor	89610	0.027225859799169527%	36.1824491242912%
335	wœród	89103	0.02707181994961949%	36.20952094424082%
336	francji	89019	0.027046298554427767%	36.23656724279525%
337	produkcji	88957	0.02702746133416721%	36.26359470412942%
338	te	88936	0.02702108098536928%	36.29061578511479%
339	new	88067	0.02675705607558825%	36.31737284119038%
340	warszawie	87938	0.02671786250440096%	36.344090703694775%
341	raz	87273	0.026515818125799825%	36.37060652182058%
342	ngc	86835	0.026382742279442987%	36.39698926410002%
343	mia³	86770	0.026362993580782725%	36.423352257680804%
344	populacja	86306	0.02622201825496178%	36.44957427593576%
345	udzia³	86164	0.026178874944042443%	36.475753150879804%
346	szerokoœæ	85987	0.026125097718459885%	36.50187824859827%
347	miejscowoœci	85654	0.0260239236160927%	36.52790217221436%
348	tych	85552	0.02599293335050275%	36.55389510556486%
349	funkcja	85344	0.025929737514789913%	36.57982484307965%
350	œwiatowej	85340	0.025928522210256974%	36.60575336528991%
351	stacja	84793	0.025762329315377544%	36.631515694605284%
352	koœcio³a	84516	0.02567816947647151%	36.657193864081755%
353	pierwsze	84214	0.025586413984234602%	36.68278027806599%
354	trener	84045	0.025535067367717924%	36.70831534543371%
355	oryginalna	83591	0.025397130303229327%	36.73371247573694%
356	from	83588	0.025396218824829623%	36.75910869456177%
357	miejsca	83580	0.025393788215763744%	36.78450248277753%
358	ang	83249	0.02529322176566303%	36.8097957045432%
359	rady	83127	0.025256154977408386%	36.835051859520604%
360	dwóch	83068	0.025238229235547534%	36.86029008875615%
361	zespo³u	83033	0.025227595320884314%	36.88551768407704%
362	mu	82644	0.025109406955055983%	36.91062709103209%
363	mieszkañców	82165	0.024963874237236516%	36.93559096526933%
364	poprzednik	81815	0.02485753509060434%	36.96044850035993%
365	którego	81262	0.0246895192389255%	36.98513801959886%
366	sezon	81118	0.024645768275739693%	37.009783787874596%
367	po³o¿ona	81011	0.02461325887948357%	37.03439704675408%
368	nim	80821	0.024555531914168958%	37.05895257866825%
369	typu	80799	0.024548847739237795%	37.08350142640749%
370	nowy	80758	0.024536390867775166%	37.10803781727526%
371	plik	80521	0.02446438407419852%	37.13250220134946%
372	nich	79861	0.02426385882626356%	37.15676606017573%
373	strefa	79550	0.02416936889882754%	37.18093542907455%
374	tabeli	79524	0.024161469419363438%	37.20509689849391%
375	km?	79457	0.024141113068436706%	37.22923801156235%
376	andrzej	79315	0.024097969757517365%	37.25333598131987%
377	for	78819	0.02394727199543291%	37.277283253315304%
378	region	78563	0.023869492505324802%	37.30115274582063%
379	zwi¹zku	78436	0.023830906586403987%	37.324983652407035%
380	nastêpny	78356	0.023806600495745203%	37.34879025290277%
381	pi³karski	78207	0.023761330401893217%	37.37255158330467%
382	kraków	78093	0.02372669422270445%	37.39627827752737%
383	grupa	77772	0.023629166033936083%	37.419907443561314%
384	poprzedni	77290	0.023482721837716915%	37.44339016539903%
385	ta	76862	0.023352684252692425%	37.46674284965172%
386	sie	76771	0.02332503607456806%	37.49006788572629%
387	paski	76734	0.02331379450763837%	37.51338168023393%
388	kiedy	76648	0.02328766546018018%	37.53666934569411%
389	wzrost	76489	0.02323935710499585%	37.5599087027991%
390	nagrody	76187	0.02314760161275894%	37.58305630441186%
391	kierunkowy	75898	0.023059795860254088%	37.60611610027212%
392	red	75798	0.02302941324693061%	37.62914551351905%
393	buenos	75726	0.023007537765337704%	37.65215305128439%
394	w³adców	75717	0.02300480333013859%	37.675157854614525%
395	iv	75692	0.022997207676807723%	37.69815506229133%
396	it	75630	0.022978370456547166%	37.72113343274788%
397	aires	75523	0.02294586106029104%	37.74407929380817%
398	województwa	75303	0.02287901931097939%	37.76695831311915%
399	rodziny	75169	0.022838306609125926%	37.78979661972827%
400	zosta³y	74380	0.022598587790003677%	37.81239520751828%
401	wielu	74222	0.02255058326095258%	37.83494579077923%
402	gole	74043	0.022496198383103554%	37.85744198916233%
403	polityk	73893	0.022450624463118334%	37.87989261362545%
404	wikis³ownik	73883	0.022447586201785986%	37.902340199827236%
405	wiki	73400	0.022300838179433582%	37.92464103800667%
406	esp	73328	0.022278962697840677%	37.94692000070451%
407	wiele	73325	0.022278051219440972%	37.969198051923954%
408	von	73195	0.022238553822120453%	37.991436605746074%
409	insee	73143	0.02222275486319224%	38.01365936060927%
410	parafia	72976	0.02217201589894203%	38.035831376508206%
411	al	72681	0.02208238718963777%	38.05791376369785%
412	pracy	72490	0.022024356398189924%	38.07993812009604%
413	linii	72311	0.021969971520340897%	38.10190809161637%
414	jana	72150	0.021921055512890097%	38.123829147129264%
415	Ÿród³a	71595	0.021752432008944788%	38.14558157913821%
416	liczby	71544	0.021736936876149814%	38.16731851601436%
417	aby	71394	0.021691362956164594%	38.18900987897052%
418	q	71261	0.021650954080444366%	38.21066083305097%
419	min	70845	0.021524562409018694%	38.232185395459986%
420	powierzchni	70711	0.021483849707165232%	38.25366924516715%
421	xix	70692	0.021478077010633773%	38.27514732217779%
422	gbr	70651	0.021465620139171145%	38.29661294231696%
423	xx	70552	0.0214355413519809%	38.31804848366894%
424	liga	70526	0.021427641872516796%	38.33947612554146%
425	net	70499	0.02141943856691946%	38.360895564108375%
426	pismo	70265	0.021348343251742518%	38.38224390736012%
427	kilka	70077	0.021291223938694377%	38.40353513129881%
428	puchar	69842	0.021219824797384202%	38.424754956096194%
429	historii	69611	0.021149640960606963%	38.4459045970568%
430	singel	69159	0.02101231154838484%	38.46691690860519%
431	park	69062	0.020982840413461063%	38.48789974901865%
432	wyd	69019	0.020969775889731968%	38.508869524908384%
433	trzy	68948	0.020948204234272298%	38.52981772914266%
434	mistrzostw	68919	0.02093939327640849%	38.550757122419064%
435	terenie	68853	0.020919340751614994%	38.571676463170675%
436	polskie	68820	0.020909314489218244%	38.5925857776599%
437	pkt	68784	0.020898376748421793%	38.61348415440832%
438	podzia³	68578	0.020835788564975425%	38.63431994297329%
439	ni¿	68574	0.020834573260442486%	38.655154516233736%
440	zdoby³	68529	0.02082090108444692%	38.675975417318185%
441	swe	68309	0.02075405933513527%	38.69672947665332%
442	mar	68308	0.020753755509002034%	38.71748323216232%
443	nawet	68144	0.020703928023151526%	38.73818716018547%
444	stanis³aw	68115	0.02069511706528772%	38.75888227725076%
445	kariera	68085	0.020686002281290673%	38.77956827953205%
446	okresie	67732	0.020578751656258793%	38.80014703118831%
447	jednym	67695	0.020567510089329107%	38.82071454127764%
448	wszystkich	67555	0.020524974430676236%	38.84123951570832%
449	j¹	67437	0.02048912294695453%	38.861728638655265%
450	stadion	67403	0.02047879285842455%	38.88220743151369%
451	razem	67392	0.020475450770958966%	38.90268288228465%
452	partia	67091	0.020383999104855294%	38.92306688138951%
453	armii	67079	0.020380353191256476%	38.943447234580766%
454	saint	67054	0.020372757537925605%	38.96381999211869%
455	czasopismo	67012	0.020359996840329745%	38.98417998895902%
456	ks	66902	0.02032657596567392%	39.0045065649247%
457	cgi	66690	0.02026216482542814%	39.02476872975012%
458	tom	66577	0.02022783247237261%	39.044996562222494%
459	regionie	66514	0.02020869142597882%	39.06520525364847%
460	¿ycia	66424	0.02018134707398769%	39.08538660072246%
461	polskich	66357	0.02016099072306096%	39.10554759144552%
462	cia³a	66334	0.020154002721996557%	39.125701594167516%
463	osoby	66309	0.020146407068665686%	39.14584800123618%
464	spis	66290	0.020140634372134227%	39.165988635608315%
465	wszystkie	66200	0.020113290020143094%	39.18610192562846%
466	muzeum	66176	0.02010599819294546%	39.20620792382141%
467	png	65953	0.0200382449652341%	39.22624616878664%
468	wielka	65723	0.0199683649545901%	39.24621453374123%
469	rodzina	65596	0.01992977903566928%	39.2661443127769%
470	sezonie	65418	0.01987569798395349%	39.28602001076085%
471	pocz¹tku	65373	0.019862025807957925%	39.30588203656881%
472	samym	65359	0.019857772242092637%	39.3257398088109%
473	nale¿y	65358	0.019857468415959402%	39.345597277226865%
474	jerzy	65349	0.01985473398076029%	39.36545201120762%
475	odznaczenia	65263	0.0198286049333021%	39.385280616140925%
476	rz¹d	65106	0.019780904230384234%	39.40506152037131%
477	g³ównie	65103	0.01977999275198453%	39.4248415131233%
478	dom	65057	0.01976601674985573%	39.44460752987315%
479	wariant	65057	0.01976601674985573%	39.46437354662301%
480	prawa	65012	0.019752344573860166%	39.48412589119687%
481	center	64869	0.01970889743680759%	39.503834788633675%
482	aut	64803	0.019688844912014093%	39.523523633545686%
483	ru	64799	0.019687629607481154%	39.54321126315317%
484	one	64654	0.01964357481816211%	39.56285483797133%
485	pañstwol	64483	0.01959162054937896%	39.58244645852071%
486	punkty	64383	0.019561237936055482%	39.602007696456766%
487	ff	64210	0.019508676015005864%	39.621516372471774%
488	bo	64151	0.01949075027314501%	39.64100712274492%
489	asp	64100	0.019475255140350037%	39.660482377885266%
490	stopieñ	63938	0.019426035306766%	39.67990841319203%
491	nasa	63818	0.019389576170777825%	39.69929798936281%
492	ponad	63761	0.019372258081183442%	39.718670247443995%
493	muzyka	63519	0.019298732156940623%	39.737968979600936%
494	robert	63456	0.01927959111054683%	39.75724857071148%
495	st	63402	0.019263184499352153%	39.776511755210834%
496	stopniw	63371	0.019253765889221876%	39.79576552110006%
497	dziêki	63364	0.019251639106289232%	39.815017160206345%
498	minutw	63228	0.0192103187521693%	39.83422747895851%
499	sekundw	63225	0.019209407273769595%	39.85343688623228%
500	narodowej	62983	0.019135881349526776%	39.87257276758181%
