106	sposób	260	0.06108577617701718%	25.89520030260954%
107	która	259	0.06085083088402865%	25.956051133493567%
108	gdzie	258	0.06061588559104013%	26.016667019084608%
109	km	258	0.06061588559104013%	26.077282904675645%
110	czêœæ	257	0.0603809402980516%	26.137663844973698%
111	h	257	0.0603809402980516%	26.19804478527175%
112	miêdzy	257	0.0603809402980516%	26.2584257255698%
113	gdy	255	0.059911049712074546%	26.318336775281875%
114	jêzyk	254	0.05967610441908602%	26.37801287970096%
115	zosta³a	253	0.05944115912609749%	26.43745403882706%
116	on	253	0.05944115912609749%	26.496895197953158%
117	miasto	252	0.05920621383310896%	26.556101411786265%
118	historia	250	0.058736323247131905%	26.614837735033397%
119	by³y	248	0.05826643266115485%	26.673104167694554%
120	d	248	0.05826643266115485%	26.731370600355707%
121	align	247	0.058031487368166323%	26.789402087723875%
122	obecnie	245	0.057561596782189264%	26.84696368450606%
123	we	245	0.057561596782189264%	26.90452528128825%
124	f	242	0.05685676090322368%	26.961382042191477%
125	wojny	242	0.05685676090322368%	27.0182388030947%
126	¿ycia	241	0.05662181561023516%	27.074860618704935%
127	podczas	240	0.05638687031724663%	27.131247489022183%
128	tzw	240	0.05638687031724663%	27.187634359339427%
129	nich	240	0.05638687031724663%	27.244021229656674%
130	której	237	0.05568203443828105%	27.299703264094955%
131	grafika	236	0.05544708914529252%	27.355150353240248%
132	polsce	236	0.05544708914529252%	27.41059744238554%
133	colspan	232	0.05450730797333841%	27.46510475035888%
134	wiele	232	0.05450730797333841%	27.519612058332218%
135	póŸniej	229	0.053802472094372826%	27.57341453042659%
136	wielu	227	0.05333258150839577%	27.626747111934986%
137	zewnêtrzne	227	0.05333258150839577%	27.680079693443382%
138	linki	225	0.052862690922418715%	27.7329423843658%
139	tys	224	0.052627745629430185%	27.785570129995232%
140	czêœci	223	0.05239280033644166%	27.837962930331674%
141	l	222	0.05215785504345313%	27.890120785375125%
142	g³ównie	222	0.05215785504345313%	27.94227864041858%
143	oko³o	219	0.05145301916448755%	27.993731659583066%
144	iii	219	0.05145301916448755%	28.045184678747553%
145	tych	217	0.05098312857851049%	28.096167807326065%
146	rok	217	0.05098312857851049%	28.147150935904573%
147	wed³ug	217	0.05098312857851049%	28.198134064483085%
148	im	215	0.05051323799253344%	28.248647302475618%
149	bez	215	0.05051323799253344%	28.29916054046815%
150	data	213	0.05004334740655638%	28.349203887874708%
151	kraju	212	0.04980840211356786%	28.399012289988278%
152	czêsto	209	0.04910356623460227%	28.448115856222877%
153	nawet	208	0.04886862094161375%	28.496984477164492%
154	center	207	0.04863367564862522%	28.545618152813116%
155	polska	202	0.047458949183682576%	28.5930771019968%
156	v	200	0.046989058597705524%	28.640066160594504%
157	usa	199	0.046754113304716995%	28.686820273899222%
158	warszawa	198	0.04651916801172847%	28.73333944191095%
159	com	193	0.04534444154678583%	28.778683883457738%
160	html	193	0.04534444154678583%	28.824028325004523%
161	system	192	0.0451094962537973%	28.86913782125832%
162	name	192	0.0451094962537973%	28.914247317512118%
163	jeden	192	0.0451094962537973%	28.959356813765915%
164	œmierci	191	0.04487455096080878%	29.004231364726724%
165	border	190	0.04463960566782025%	29.048870970394542%
166	œw	188	0.04416971508184319%	29.093040685476385%
167	œwiata	187	0.04393476978885467%	29.13697545526524%
168	kilka	185	0.04346487920287761%	29.18044033446812%
169	mog¹	184	0.04322993390988908%	29.223670268378008%
170	koœció³	183	0.042994988616900556%	29.26666525699491%
171	ipa	183	0.042994988616900556%	29.30966024561181%
172	main	182	0.04276004332391203%	29.352420288935722%
173	commons	180	0.042290152737934975%	29.394710441673656%
174	pierwszy	179	0.042055207444946445%	29.436765649118602%
175	em	179	0.042055207444946445%	29.478820856563548%
176	opis	177	0.041585316858969386%	29.52040617342252%
177	wraz	176	0.04135037156598086%	29.561756544988498%
178	left	176	0.04135037156598086%	29.60310691655448%
179	jêzyka	174	0.040880480980003804%	29.643987397534485%
180	sub	174	0.040880480980003804%	29.68486787851449%
181	aby	174	0.040880480980003804%	29.725748359494492%
182	jednym	173	0.04064553568701528%	29.76639389518151%
183	strony	172	0.04041059039402675%	29.806804485575533%
184	danych	172	0.04041059039402675%	29.84721507596956%
185	jeœli	171	0.04017564510103822%	29.8873907210706%
186	wszystkie	171	0.04017564510103822%	29.927566366171636%
187	ta	171	0.04017564510103822%	29.967742011272676%
188	wiêc	171	0.04017564510103822%	30.007917656373714%
189	isbn	170	0.03994069980804969%	30.047858356181763%
190	maj¹	169	0.03970575451506117%	30.087564110696825%
191	xx	169	0.03970575451506117%	30.127269865211886%
192	znajduje	168	0.03947080922207264%	30.166740674433957%
193	imiê	168	0.03947080922207264%	30.20621148365603%
194	j	167	0.03923586392908411%	30.245447347585113%
195	czas	167	0.03923586392908411%	30.2846832115142%
196	ni¿	165	0.03876597334310706%	30.323449184857306%
197	armii	164	0.03853102805011853%	30.361980212907426%
198	którego	164	0.03853102805011853%	30.40051124095754%
199	text	164	0.03853102805011853%	30.43904226900766%
200	g	163	0.03829608275713%	30.477338351764793%
201	dwa	160	0.03759124687816442%	30.514929598642954%
202	strona	159	0.03735630158517589%	30.55228590022813%
203	wszystkich	159	0.03735630158517589%	30.58964220181331%
204	wzglêdu	159	0.03735630158517589%	30.626998503398482%
205	piechoty	157	0.036886410999198836%	30.663884914397684%
206	ludnoœæ	156	0.03665146570621031%	30.70053638010389%
207	mu	156	0.03665146570621031%	30.7371878458101%
208	którym	155	0.036416520413221784%	30.773604366223324%
209	ponad	155	0.036416520413221784%	30.810020886636547%
210	natomiast	154	0.036181575120233254%	30.84620246175678%
211	œwiatowej	154	0.036181575120233254%	30.882384036877014%
212	km?	154	0.036181575120233254%	30.918565611997245%
213	nale¿y	154	0.036181575120233254%	30.95474718711748%
214	je	153	0.035946629827244725%	30.990693816944724%
215	okresie	153	0.035946629827244725%	31.026640446771967%
216	terytorium	153	0.035946629827244725%	31.062587076599215%
217	zm	153	0.035946629827244725%	31.09853370642646%
218	grc	152	0.035711684534256195%	31.134245390960714%
219	font	152	0.035711684534256195%	31.16995707549497%
220	mln	151	0.03547673924126767%	31.20543381473624%
221	ró¿nych	151	0.03547673924126767%	31.240910553977507%
222	nastêpnie	151	0.03547673924126767%	31.276387293218775%
223	lata	150	0.03524179394827914%	31.311629087167052%
224	one	149	0.035006848655290614%	31.346635935822345%
225	dwóch	149	0.035006848655290614%	31.381642784477634%
226	wiêkszoœæ	149	0.035006848655290614%	31.416649633132923%
227	j¹	148	0.03477190336230209%	31.45142153649523%
228	imieniu	148	0.03477190336230209%	31.48619343985753%
229	wyniku	148	0.03477190336230209%	31.52096534321983%
230	obraz	147	0.03453695806931356%	31.555502301289145%
231	by	146	0.03430201277632503%	31.58980431406547%
232	najbardziej	146	0.03430201277632503%	31.624106326841794%
233	anime	145	0.0340670674833365%	31.658173394325132%
234	bydgoszcz	145	0.0340670674833365%	31.692240461808467%
235	jeszcze	145	0.0340670674833365%	31.726307529291805%
236	istnieje	145	0.0340670674833365%	31.76037459677514%
237	dziêki	144	0.03383212219034798%	31.794206718965487%
238	jêzyku	144	0.03383212219034798%	31.828038841155838%
239	mieszkañców	144	0.03383212219034798%	31.861870963346185%
240	ur	144	0.03383212219034798%	31.89570308553653%
241	svg	144	0.03383212219034798%	31.929535207726882%
242	ona	142	0.03336223160437092%	31.96289743933125%
243	size	142	0.03336223160437092%	31.996259670935622%
244	jpg	141	0.0331272863113824%	32.029386957247006%
245	bardziej	140	0.03289234101839387%	32.0622792982654%
246	org	139	0.03265739572540534%	32.0949366939908%
247	mia³	139	0.03265739572540534%	32.12759408971621%
248	tam	138	0.03242245043241681%	32.160016540148625%
249	boga	138	0.03242245043241681%	32.192438990581046%
250	przypadku	138	0.03242245043241681%	32.22486144101346%
251	infobox	138	0.03242245043241681%	32.25728389144588%
252	wystêpuje	137	0.03218750513942829%	32.289471396585306%
253	polskiego	137	0.03218750513942829%	32.32165890172473%
254	nim	137	0.03218750513942829%	32.353846406864164%
255	mm	136	0.03195255984643976%	32.3857989667106%
256	podzia³	134	0.0314826692604627%	32.417281635971065%
257	celu	134	0.0314826692604627%	32.44876430523153%
258	zosta³y	132	0.031012778674485646%	32.479777083906015%
259	powierzchnia	131	0.03077783338149712%	32.51055491728751%
260	tytu³	131	0.03077783338149712%	32.54133275066901%
261	kiedy	131	0.03077783338149712%	32.572110584050506%
262	syn	131	0.03077783338149712%	32.602888417432%
263	biblioteka	131	0.03077783338149712%	32.6336662508135%
264	poniewa¿	130	0.03054288808850859%	32.66420913890201%
265	pocz¹tku	130	0.03054288808850859%	32.694752026990514%
266	prawa	129	0.030307942795520064%	32.72505996978604%
267	dane	129	0.030307942795520064%	32.755367912581555%
268	°c	129	0.030307942795520064%	32.78567585537708%
269	poprzez	128	0.030072997502531534%	32.81574885287961%
270	dopiero	128	0.030072997502531534%	32.84582185038214%
271	zwi¹zku	127	0.02983805220954301%	32.87565990259168%
272	jedynie	126	0.02960310691655448%	32.90526300950824%
273	nazwy	126	0.02960310691655448%	32.93486611642479%
274	iv	126	0.02960310691655448%	32.96446922334135%
275	osób	126	0.02960310691655448%	32.9940723302579%
276	¿ycie	125	0.029368161623565953%	33.023440491881466%
277	wœród	125	0.029368161623565953%	33.05280865350503%
278	innymi	124	0.029133216330577427%	33.08194186983561%
279	tu	124	0.029133216330577427%	33.11107508616619%
280	bóg	124	0.029133216330577427%	33.14020830249677%
281	lecz	124	0.029133216330577427%	33.16934151882734%
282	armia	122	0.02866332574460037%	33.19800484457194%
283	poza	122	0.02866332574460037%	33.22666817031654%
284	a¿	122	0.02866332574460037%	33.25533149606114%
285	centrum	122	0.02866332574460037%	33.28399482180574%
286	pierwsze	122	0.02866332574460037%	33.312658147550344%
287	sobie	121	0.02842838045161184%	33.34108652800195%
288	ludzi	121	0.02842838045161184%	33.36951490845357%
289	wtedy	121	0.02842838045161184%	33.397943288905175%
290	and	121	0.02842838045161184%	33.42637166935679%
291	kultury	121	0.02842838045161184%	33.454800049808405%
292	liczba	121	0.02842838045161184%	33.48322843026001%
293	color	120	0.028193435158623315%	33.51142186541864%
294	okres	120	0.028193435158623315%	33.53961530057726%
295	ang	120	0.028193435158623315%	33.56780873573588%
296	gêstoœæ	119	0.027958489865634786%	33.59576722560152%
297	bydgoszczy	118	0.02772354457264626%	33.623490770174165%
298	wyspy	117	0.02748859927965773%	33.65097936945382%
299	gdy¿	117	0.02748859927965773%	33.67846796873348%
300	takie	117	0.02748859927965773%	33.705956568013136%
301	grupy	116	0.027253653986669204%	33.733210221999805%
302	ludnoœci	116	0.027253653986669204%	33.760463875986474%
303	systemu	116	0.027253653986669204%	33.78771752997314%
304	warunki	116	0.027253653986669204%	33.81497118395981%
305	zarówno	115	0.027018708693680678%	33.841989892653494%
306	najczêœciej	115	0.027018708693680678%	33.869008601347176%
307	niektórych	115	0.027018708693680678%	33.89602731004086%
308	postaci	115	0.027018708693680678%	33.92304601873454%
309	typu	115	0.027018708693680678%	33.95006472742822%
310	cz³owieka	115	0.027018708693680678%	33.9770834361219%
311	caravaggio	114	0.026783763400692148%	34.00386719952259%
312	trzy	114	0.026783763400692148%	34.03065096292328%
313	i¿	114	0.026783763400692148%	34.057434726323976%
314	top	114	0.026783763400692148%	34.08421848972467%
315	alfred	114	0.026783763400692148%	34.111002253125356%
316	œwiecie	113	0.026548818107703622%	34.13755107123306%
317	posiada	113	0.026548818107703622%	34.16409988934077%
318	sam	113	0.026548818107703622%	34.19064870744847%
319	wartoœæ	113	0.026548818107703622%	34.21719752555617%
320	kod	113	0.026548818107703622%	34.24374634366388%
321	niektóre	112	0.026313872814715093%	34.27006021647859%
322	polskiej	112	0.026313872814715093%	34.29637408929331%
323	wojska	112	0.026313872814715093%	34.32268796210802%
324	niemcy	111	0.026078927521726566%	34.34876688962975%
325	polskich	111	0.026078927521726566%	34.374845817151474%
326	s³owa	111	0.026078927521726566%	34.400924744673205%
327	sierpnia	110	0.025843982228738037%	34.42676872690194%
328	lang	109	0.02560903693574951%	34.45237776383769%
329	którzy	109	0.02560903693574951%	34.47798680077344%
330	takich	108	0.025374091642760985%	34.503360892416204%
331	dzieci	108	0.025374091642760985%	34.528734984058964%
332	lipca	108	0.025374091642760985%	34.554109075701724%
333	nr	108	0.025374091642760985%	34.579483167344485%
334	czasu	108	0.025374091642760985%	34.604857258987245%
335	nowy	108	0.025374091642760985%	34.630231350630005%
336	program	107	0.025139146349772455%	34.65537049697978%
337	grupa	107	0.025139146349772455%	34.68050964332955%
338	znaczenie	107	0.025139146349772455%	34.70564878967932%
339	teorii	107	0.025139146349772455%	34.730787936029095%
340	al	106	0.02490420105678393%	34.75569213708588%
341	samym	106	0.02490420105678393%	34.780596338142665%
342	wg	105	0.0246692557637954%	34.80526559390646%
343	wyd	105	0.0246692557637954%	34.82993484967025%
344	stan	105	0.0246692557637954%	34.85460410543405%
345	niego	105	0.0246692557637954%	34.879273361197846%
346	zaœ	105	0.0246692557637954%	34.90394261696164%
347	przypisy	104	0.024434310470806873%	34.928376927432446%
348	jana	104	0.024434310470806873%	34.952811237903255%
349	ojciec	103	0.024199365177818344%	34.97701060308107%
350	jednego	103	0.024199365177818344%	35.00120996825889%
351	chorzów	103	0.024199365177818344%	35.02540933343671%
352	jednoczeœnie	103	0.024199365177818344%	35.04960869861453%
353	azji	103	0.024199365177818344%	35.07380806379235%
354	mol	102	0.023964419884829818%	35.097772483677176%
355	oznacza	102	0.023964419884829818%	35.121736903562%
356	mimo	101	0.023729474591841288%	35.14546637815385%
357	dzia³ania	101	0.023729474591841288%	35.16919585274569%
358	w³adzy	101	0.023729474591841288%	35.19292532733753%
359	xix	101	0.023729474591841288%	35.21665480192937%
360	swoje	101	0.023729474591841288%	35.24038427652121%
361	pomoc¹	101	0.023729474591841288%	35.26411375111305%
362	zakresu	101	0.023729474591841288%	35.2878432257049%
363	autor	100	0.023494529298852762%	35.31133775500375%
364	jan	100	0.023494529298852762%	35.3348322843026%
365	powierzchni	100	0.023494529298852762%	35.35832681360145%
366	biblioteki	99	0.023259584005864236%	35.381586397607315%
367	stycznia	99	0.023259584005864236%	35.40484598161318%
368	stanowi	99	0.023259584005864236%	35.42810556561905%
369	œwiat	99	0.023259584005864236%	35.45136514962491%
370	zosta³o	99	0.023259584005864236%	35.474624733630776%
371	dziœ	99	0.023259584005864236%	35.49788431763664%
372	ziemi	99	0.023259584005864236%	35.5211439016425%
373	budapeszt	98	0.023024638712875706%	35.54416854035538%
374	pocz¹tkowo	98	0.023024638712875706%	35.567193179068255%
375	zwykle	98	0.023024638712875706%	35.59021781778113%
376	temperatura	98	0.023024638712875706%	35.61324245649401%
377	nazwisko	98	0.023024638712875706%	35.63626709520688%
378	sk³ad	98	0.023024638712875706%	35.65929173391976%
379	brak	98	0.023024638712875706%	35.682316372632634%
380	po³udniowej	97	0.02278969341988718%	35.70510606605252%
381	siebie	97	0.02278969341988718%	35.7278957594724%
382	osad	97	0.02278969341988718%	35.75068545289229%
383	funkcji	97	0.02278969341988718%	35.77347514631218%
384	pierwszym	97	0.02278969341988718%	35.79626483973207%
385	podobnie	97	0.02278969341988718%	35.819054533151956%
386	polskie	97	0.02278969341988718%	35.841844226571844%
387	link	97	0.02278969341988718%	35.86463391999173%
388	marca	97	0.02278969341988718%	35.88742361341162%
389	muzeum	97	0.02278969341988718%	35.9102133068315%
390	d³ugoœæ	96	0.02255474812689865%	35.9327680549584%
391	la	96	0.02255474812689865%	35.9553228030853%
392	raz	96	0.02255474812689865%	35.9778775512122%
393	jedn¹	95	0.022319802833910125%	36.00019735404611%
394	swoich	95	0.022319802833910125%	36.02251715688002%
395	grudnia	95	0.022319802833910125%	36.04483695971393%
396	wartoœci	95	0.022319802833910125%	36.06715676254784%
397	stanie	95	0.022319802833910125%	36.08947656538175%
398	pomiêdzy	95	0.022319802833910125%	36.111796368215664%
399	pracy	94	0.022084857540921595%	36.13388122575658%
400	choæ	94	0.022084857540921595%	36.15596608329751%
401	wówczas	94	0.022084857540921595%	36.178050940838425%
402	cm	94	0.022084857540921595%	36.20013579837935%
403	litery	94	0.022084857540921595%	36.22222065592027%
404	dope³niacz	94	0.022084857540921595%	36.24430551346119%
405	wystêpuj¹	94	0.022084857540921595%	36.26639037100211%
406	mia³a	93	0.02184991224793307%	36.28824028325005%
407	g³owa	93	0.02184991224793307%	36.31009019549798%
408	htm	93	0.02184991224793307%	36.331940107745915%
409	maja	93	0.02184991224793307%	36.353790019993845%
410	historii	93	0.02184991224793307%	36.375639932241775%
411	wczeœniej	93	0.02184991224793307%	36.39748984448971%
412	aborcji	92	0.02161496695494454%	36.419104811444655%
413	collapse	92	0.02161496695494454%	36.4407197783996%
414	solid	92	0.02161496695494454%	36.462334745354546%
415	w³asnoœci	92	0.02161496695494454%	36.48394971230949%
416	pochodzi	91	0.021380021661956013%	36.50532973397144%
417	byli	91	0.021380021661956013%	36.5267097556334%
418	as	91	0.021380021661956013%	36.54808977729536%
419	alfabet	91	0.021380021661956013%	36.569469798957314%
420	ró¿ne	90	0.021145076368967487%	36.59061487532628%
421	czêstochowa	90	0.021145076368967487%	36.61175995169525%
422	niej	90	0.021145076368967487%	36.632905028064215%
423	metody	90	0.021145076368967487%	36.65405010443318%
424	zagadnieñ	90	0.021145076368967487%	36.67519518080215%
425	hazard	90	0.021145076368967487%	36.696340257171116%
426	europy	90	0.021145076368967487%	36.71748533354008%
427	urz¹d	90	0.021145076368967487%	36.73863040990905%
428	berlin	90	0.021145076368967487%	36.75977548627802%
429	rozwoju	89	0.020910131075978958%	36.780685617354%
430	swoj¹	89	0.020910131075978958%	36.801595748429975%
431	je¿eli	89	0.020910131075978958%	36.822505879505954%
432	reakcji	89	0.020910131075978958%	36.84341601058193%
433	rz¹du	89	0.020910131075978958%	36.86432614165791%
434	dlatego	89	0.020910131075978958%	36.88523627273389%
435	przyk³ad	89	0.020910131075978958%	36.90614640380987%
436	dwie	89	0.020910131075978958%	36.92705653488585%
437	wszystkim	89	0.020910131075978958%	36.94796666596183%
438	at	89	0.020910131075978958%	36.96887679703781%
439	¿o³nierzy	89	0.020910131075978958%	36.98978692811379%
440	png	89	0.020910131075978958%	37.010697059189766%
441	wobec	89	0.020910131075978958%	37.031607190265746%
442	kwietnia	88	0.02067518578299043%	37.05228237604874%
443	ponadto	88	0.02067518578299043%	37.07295756183173%
444	wydawnictwo	88	0.02067518578299043%	37.09363274761472%
445	ojca	87	0.020440240490001902%	37.114072988104716%
446	jednej	87	0.020440240490001902%	37.13451322859472%
447	bitwy	87	0.020440240490001902%	37.154953469084724%
448	boles³aw	87	0.020440240490001902%	37.17539370957473%
449	zw³aszcza	87	0.020440240490001902%	37.195833950064724%
450	szczególnie	87	0.020440240490001902%	37.21627419055473%
451	en	87	0.020440240490001902%	37.23671443104473%
452	tekst	86	0.020205295197013376%	37.25691972624175%
453	wynosi	86	0.020205295197013376%	37.277125021438756%
454	œmieræ	86	0.020205295197013376%	37.29733031663577%
455	czym	86	0.020205295197013376%	37.31753561183278%
456	kraków	86	0.020205295197013376%	37.3377409070298%
457	source	86	0.020205295197013376%	37.35794620222681%
458	koñcu	86	0.020205295197013376%	37.37815149742382%
459	przeciwko	86	0.020205295197013376%	37.39835679262084%
460	kilku	86	0.020205295197013376%	37.418562087817854%
461	typ	86	0.020205295197013376%	37.43876738301486%
462	dzia³anie	86	0.020205295197013376%	37.45897267821188%
463	wzglêdem	86	0.020205295197013376%	37.479177973408895%
464	von	86	0.020205295197013376%	37.499383268605904%
465	cia³a	85	0.019970349904024846%	37.51935361850993%
466	paŸdziernika	85	0.019970349904024846%	37.53932396841395%
467	fa	85	0.019970349904024846%	37.55929431831798%
468	przegl¹d	85	0.019970349904024846%	37.579264668222%
469	padding	84	0.01973540461103632%	37.59900007283304%
470	czerwca	84	0.01973540461103632%	37.618735477444076%
471	króla	84	0.01973540461103632%	37.63847088205512%
472	prawie	84	0.01973540461103632%	37.65820628666615%
473	dnia	84	0.01973540461103632%	37.677941691277184%
474	zawsze	84	0.01973540461103632%	37.697677095888224%
475	uk³ad	84	0.01973540461103632%	37.71741250049926%
476	zwi¹zków	83	0.019500459318047794%	37.7369129598173%
477	disambigr	83	0.019500459318047794%	37.756413419135356%
478	sztuki	83	0.019500459318047794%	37.7759138784534%
479	powodu	83	0.019500459318047794%	37.79541433777145%
480	id	83	0.019500459318047794%	37.8149147970895%
481	pamiêci	83	0.019500459318047794%	37.834415256407546%
482	albo	83	0.019500459318047794%	37.85391571572559%
483	zwi¹zek	83	0.019500459318047794%	37.873416175043644%
484	si³y	83	0.019500459318047794%	37.89291663436169%
485	zazwyczaj	82	0.019265514025059265%	37.91218214838675%
486	podstawie	82	0.019265514025059265%	37.931447662411806%
487	bêdzie	82	0.019265514025059265%	37.950713176436864%
488	symbol	82	0.019265514025059265%	37.96997869046193%
489	listopada	82	0.019265514025059265%	37.98924420448699%
490	str	82	0.019265514025059265%	38.008509718512045%
491	hitchcock	82	0.019265514025059265%	38.0277752325371%
492	prawo	82	0.019265514025059265%	38.04704074656216%
493	mieœcie	82	0.019265514025059265%	38.066306260587226%
494	si³	82	0.019265514025059265%	38.08557177461228%
495	liczby	81	0.01903056873207074%	38.104602343344354%
496	wojsk	81	0.01903056873207074%	38.123632912076424%
497	pierwsza	81	0.01903056873207074%	38.142663480808494%
498	któr¹	81	0.01903056873207074%	38.161694049540564%
499	cz³owiek	81	0.01903056873207074%	38.180724618272635%
500	class	81	0.01903056873207074%	38.199755187004705%
501	park	81	0.01903056873207074%	38.218785755736775%
502	mapa	80	0.01879562343908221%	38.23758137917586%
503	oprócz	80	0.01879562343908221%	38.25637700261494%
504	osoby	80	0.01879562343908221%	38.27517262605402%
505	jednostki	80	0.01879562343908221%	38.293968249493105%
506	choroby	80	0.01879562343908221%	38.31276387293219%
507	wojnie	80	0.01879562343908221%	38.33155949637127%
508	fakt	80	0.01879562343908221%	38.35035511981035%
509	stanu	80	0.01879562343908221%	38.369150743249435%
510	austrii	80	0.01879562343908221%	38.38794636668852%
511	alfabetu	79	0.018560678146093683%	38.40650704483461%
512	kobiet	79	0.018560678146093683%	38.42506772298071%
513	pu³k	79	0.018560678146093683%	38.443628401126794%
514	drugiej	79	0.018560678146093683%	38.46218907927289%
515	rozwój	79	0.018560678146093683%	38.480749757418984%
